,view_count,likes,dislikes,comment_count
2858,335328,8542,1006,2073
2863,396099,16012,273,1558
2870,250524,5260,227,840
2872,443468,20884,360,1675
2895,191245,4098,326,655
2898,144823,7087,223,922
2932,1901804,98590,8104,12278
2959,7678044,361965,5258,35075
2979,5511209,241449,11001,36265
2983,2598842,99805,4272,10186
2988,11107465,483838,9516,37805
2998,893325,52135,1624,4064
3000,3634688,306192,11367,35065
3001,3912729,299719,7255,28814
3012,1224683,51754,38866,20573
3040,1189269,40430,1435,4843
3052,279106,17853,271,875
3057,1001736,51330,1078,5138
3062,326915,37513,121,2376
3063,1085234,98880,986,10800
3071,385141,24205,378,1451
3073,173266,14484,189,2595
3082,211340,10503,174,1305
3086,209609,8769,175,871
3095,670196,41352,726,1537
3098,7067063,360746,8031,31687
3101,352000,8793,1054,2118
3109,464342,17462,298,1656
3116,499139,21862,388,1751
3117,263150,5464,237,876
3139,196305,4160,330,665
3159,152176,7248,230,942
3195,2106911,102232,9587,12759
3203,7477555,345044,18350,40200
3205,7027647,669490,22912,38264
3208,5468656,345895,9370,32819
3217,414979,22915,640,3220
3222,248747,18140,167,2566
3223,842778,53981,1084,5783
3251,387424,8282,2052,1767
3258,217777,8568,405,1478
3264,1214544,40901,1458,4881
3273,650493,23693,553,2791
3275,335297,19995,319,939
3281,1044291,52689,1112,5265
3291,192941,15467,200,2759
3296,434906,26226,401,1534
3304,1140554,101483,1031,10906
3308,274766,11001,184,1365
3309,224883,9235,185,923
3311,378766,40755,129,2595
3320,697880,42814,742,1578
3321,7330633,366332,8155,31224
3323,630995,24320,430,1877
3324,509725,18317,321,1723
3327,360796,8934,1071,2153
3339,273569,5655,249,908
3365,205852,4263,335,679
3380,157421,7376,232,964
3416,8952258,357734,20553,41515
3423,10279271,780166,26437,43950
3427,310156,16331,97,3891
3429,6111229,364907,10348,34739
3455,1129017,61562,1340,6766
3463,601228,21598,948,1957
3473,291358,14177,435,1604
3478,307224,12028,862,1973
3481,1423381,54709,41182,22266
3515,406978,8581,2115,1833
3518,264358,9400,452,1709
3530,1229095,41289,1470,4894
3537,669127,24061,568,2842
3539,358514,20887,338,969
3547,1066344,53300,1150,5332
3551,204502,16018,208,2834
3557,471236,27661,439,1586
3568,1180892,103153,1066,10992
3571,302568,11214,189,1406
3572,237910,9650,200,953
3576,399712,41892,133,2692
3580,724588,44104,767,1614
3583,7561566,371144,8307,31007
3584,669640,25049,442,1902
3593,356152,9041,1084,2177
3595,533837,18793,335,1738
3612,6118498,591683,24813,102034
3642,9703498,364809,22172,41863
3652,12016332,828312,27606,46288
3658,394937,17881,116,4236
3665,6466314,375242,10762,35661
3676,171015,13418,78,2333
3681,903342,37119,84893,26675
3684,557881,25342,776,3623
3693,439029,24366,251,3534
3696,1261623,64383,1446,7192
3704,646554,22132,985,2009
3708,339177,15452,479,1808
3719,337027,12552,917,2089
3724,1446267,54963,41472,22594
3756,418004,8746,2160,1867
3760,299711,9904,470,1814
3770,1243504,41623,1476,4911
3773,666793,24326,574,2873
3783,1081298,53717,1177,5374
3789,213141,16402,214,2901
3797,507196,28867,457,1619
3812,1937218,100399,4080,15610
3816,491574,50959,2185,5893
3848,7707987,662025,28716,124841
3881,10068572,367666,22720,42205
3886,13109032,850736,28094,47442
3897,432404,18708,122,4509
3902,6693767,382770,11044,36453
3914,182371,13868,82,2444
3915,970389,38464,91019,28165
3917,582562,25765,792,3698
3929,1347607,66058,1532,7467
3931,461289,25161,259,3664
3940,369060,16146,510,1906
3944,672998,22410,1007,2059
3959,356464,12847,943,2153
3960,1453312,55158,41704,22781
3995,426586,8908,2201,1913
3999,327818,10358,486,1919
4014,830798,66690,610,7681
4025,5329267,305583,8717,25884
4038,676583,48502,1264,3274
4045,2265173,106895,4517,16564
4047,745339,60431,3181,7146
4082,8418218,686927,30185,133428
4122,10260557,369216,22909,42482
4125,13619065,872905,28525,48239
4133,459687,19447,128,4713
4139,6874840,389218,11344,37099
4152,1014224,39470,96732,29394
4153,189159,14134,88,2507
4155,602933,26162,809,3746
4166,1367255,67558,1610,7666
4168,466649,25607,259,3747
4174,381199,16845,530,1992
4178,692407,22672,1034,2085
4193,342116,13110,963,2209
4194,1464723,55341,41860,22923
4202,11256073,8623,939,1958
4212,399493,20427,321,4175
4217,3132273,74433,2281,2483
4220,736827,45339,600,8326
4228,637245,36500,401,1609
4232,281839,23771,214,2547
4245,997671,73609,716,8260
4253,6709451,342374,10135,28180
4257,1082394,51711,1472,3458
4271,869720,66885,3478,7876
4274,2375873,109274,4655,16876
4313,8640394,695955,30687,138636
4353,10403763,370361,23054,42698
4354,13937362,887714,28813,48890
4363,480093,19969,132,4919
4370,7047801,394654,11546,37607
4384,622430,26566,821,3853
4385,1051384,40109,99319,29869
4389,193579,14289,88,2543
4395,1379986,68420,1650,7812
4397,472138,25962,266,3795
4414,11642033,10214,1254,2176
4425,355085,30839,570,3335
4448,3968522,86234,3063,2819
4452,1004252,55166,744,9779
4461,883683,42106,534,1834
4470,380472,27572,248,2895
4488,1099538,77521,782,8578
4496,7348657,356312,10670,28571
4504,1516832,52928,1570,3524
4516,955892,71475,3711,8451
4519,176456,9118,485,1021
4523,2425200,109876,4709,17016
4557,8796531,702488,31034,142629
4598,14339979,897694,29017,49278
4602,4745082,279073,7451,45943
4604,924406,39393,690,1899
4621,140807,32211,1455,4717
4622,1018845,82527,685,12144
4626,744354,36426,2619,4168
4632,359147,5388,215,56
4680,4397474,90371,3318,2890
4684,1101692,58173,838,10377
4696,971466,45027,553,1925
4700,556238,24128,433,4795
4702,422069,29165,260,3033
4719,1158951,79591,822,8744
4726,7689207,364006,10968,28646
4732,1868454,76835,2200,3992
4747,1023806,74923,3868,8813
4750,186459,9349,490,1061
4753,2280728,110705,4746,17073
4787,8910495,706907,31323,146359
4806,6292692,293720,9255,48295
4811,1444974,45940,1096,2142
4828,328000,47416,3814,6516
4851,12058567,10767,1337,2192
4857,510234,37587,748,4036
4898,4658421,92652,3463,2958
4901,1141928,59066,864,10539
4907,1051265,47326,582,1988
4915,448850,30054,272,3139
4918,570208,24430,445,4837
4931,1198692,81087,849,8840
4936,2969642,101719,2744,4385
4940,8110719,372496,11271,28965
4958,191087,9411,492,1065
4967,2267068,111185,4772,17132
5012,7034791,299386,10039,49429
5017,565834,45895,577,7728
5024,1681203,49169,1243,2232
5034,295209,41409,488,3261
5037,4879682,299517,3510,26025
5053,1634096,105190,967,14784
5059,181022,3297,78,320
5060,962124,39963,3068,4694
5070,378133,5456,225,64
5091,12537190,10900,1355,2162
5094,558811,39297,801,4227
5134,4807763,94508,3523,2976
5136,1153319,59435,890,10634
5139,1124748,49475,609,2047
5148,460989,30602,283,3121
5151,194418,9437,493,1068
5160,575855,24574,450,4851
5167,1233839,82339,874,8931
5168,3282552,108123,2912,4487
5176,8429851,378675,11513,29242
5198,2282250,111504,4792,17163
5254,657667,49471,711,8885
5259,7321534,301097,10184,49943
5269,1777601,50708,1252,2267
5276,420703,54166,593,3641
5283,5245500,310870,3671,26682
5291,451712,60139,4301,7489
5307,1819291,111109,1060,15795
5313,189070,3380,81,321
5314,1007222,40518,3133,4760
5324,379521,5467,225,65
5341,592078,40382,840,4400
5344,12683360,11026,1366,2133
5385,4923980,96138,3567,3013
5387,1160251,59680,896,10669
5388,1182509,51047,627,2092
5399,469309,30958,286,3152
5403,835054,39788,431,4207
5406,14445277,733122,22746,71400
5411,4772095,283295,3776,21660
5420,83611,5071,270,1446
5428,276204,20233,147,370
5481,721908,52911,741,9656
5492,7484914,302774,10343,50830
5497,1845839,51724,1266,2298
5502,544800,64113,681,3894
5511,5564022,321104,3828,27077
5533,1961422,115788,1143,16412
5537,503653,65047,4435,7787
5539,194088,3430,82,324
5546,1041419,40921,3167,4808
5553,379680,5475,225,69
5566,619895,41529,885,4586
5573,12831368,11128,1372,2109
5601,2024387,125677,5600,12105
5607,2541000,170213,2241,18776
5610,1900462,146394,1808,16624
5620,196736,13045,576,3589
5627,1233531,48313,885,5000
5630,279371,7909,822,2246
5631,85900,4853,121,1536
5632,379202,26378,352,2075
5640,18253830,767213,24934,73868
5654,6094752,318150,4519,23551
5670,360753,24241,253,453
5721,770077,55041,773,10179
5731,7812917,304286,10489,51138
5737,1899593,52562,1277,2310
5739,644343,70539,750,4076
5751,5808365,327768,3921,27296
5772,2086990,119703,1224,16912
5778,196351,3447,82,324
5788,1041474,41214,3187,4844
5792,380113,5478,226,73
5802,2247088,138779,6820,13327
5804,7512008,801005,6864,78454
5822,3094780,143939,7222,13667
5852,252959,14314,729,4017
5853,1661526,216329,817,3176
5860,407274,33328,439,2790
5863,120768,5515,165,1852
5866,1402188,51309,971,5237
5867,338544,8323,919,2356
5877,21725584,793608,26556,75714
5882,447095,28190,380,2209
5890,6830344,333616,4844,23846
5896,445857,28487,294,515
5955,805453,56642,800,10689
5969,7887734,305115,10543,51231
5971,710849,74083,793,4179
5975,1941789,53146,1284,2322
5985,6072107,334640,4013,27286
6012,3219437,163944,8472,15506
6018,8730446,850086,8001,82595
6024,772149,36970,1820,5069
6040,3709181,205890,2405,9796
6068,2516799,165722,2169,18660
6071,2901001,179329,2437,19986
6080,1874245,233222,908,3343
6085,260086,14494,746,4059
6086,452907,35201,463,2926
6088,128486,5669,174,1902
6092,342774,8370,921,2399
6096,1472098,52756,991,5319
6100,25083721,804978,27267,76715
6111,476289,29097,393,2326
6117,7136374,339939,4992,24147
6119,521714,31625,319,568
6180,835171,57892,829,11014
6193,8047530,305661,10601,51479
6196,763729,76599,833,4233
6234,3709147,176624,9092,16771
6241,9816351,918939,9298,87521
6256,9084466,221809,2863,10268
6278,3471491,151617,7702,14231
6295,2620112,168134,2212,18983
6301,2929020,179680,2445,20040
6305,2010574,242397,952,3419
6313,130546,5710,177,1860
6317,344227,8384,924,2395
6319,262025,14540,750,4067
6320,473824,35977,481,3002
6322,1544347,53951,1009,5320
6324,28143798,813972,27842,77313
6335,498679,29553,402,2377
6343,7350279,344117,5067,24347
6344,567211,33475,337,593
6400,2242211,192106,1870,25284
6406,1148555,97818,2564,10789
6451,10618726,964436,10278,90622
6463,1010087,41108,2088,5272
6485,14682645,234095,3155,10712
6506,3552189,153782,7837,14385
6523,2693376,169954,2239,19197
6530,2056738,246062,964,3453
6535,2941105,180036,2457,20118
6541,131526,5732,178,1870
6545,345104,8394,926,2394
6547,263150,14574,754,4067
6550,484698,36108,487,3050
6551,1613632,54950,1017,5360
6553,30969930,820352,28293,77945
6563,514252,29953,408,2415
6568,605233,34931,355,609
6570,7531404,347897,5127,24524
6605,4000890,231929,4249,29470
6606,413078,41356,526,4146
6629,2261723,137989,4272,14928
6686,4276834,192533,9689,18301
6694,11113916,992949,10793,92336
6701,1066314,41783,2144,5379
6725,16215021,241182,3340,11079
6748,3614795,155391,7972,14532
6765,2747406,171307,2259,19359
6772,2081706,248012,973,3479
6779,2949226,180264,2460,20160
6784,345716,8407,926,2397
6789,483839,36329,490,3079
6790,263874,14593,756,4074
6792,32114735,824753,28567,78320
6795,132466,5752,178,1878
6796,1674350,55794,1027,5397
6812,686023,56290,574,6128
6821,858606,60462,1090,5996
6829,405903,29370,253,1322
6838,4579852,248524,4581,30788
6845,207408,21128,114,2078
6846,642592,58005,441,1963
6861,129469,6046,198,1175
6874,2841562,158227,4855,16608
6954,4479322,198528,9904,18785
6960,11492104,1017525,11213,93941
6970,1102973,42205,2176,5456
6991,16430037,246787,3491,11270
7060,1023912,65107,1311,6538
7064,216804,16246,206,1091
7065,708956,38992,400,1754
7087,886869,67688,655,1835
7091,4755338,255035,4727,31570
7099,248929,23338,123,2328
7103,181592,7075,225,1315
7122,3248338,171153,5199,17730
7202,1051876,13641,996,1203
7203,2983615,144483,2692,10770
7212,1777365,145575,2760,16170
7228,4041312,237392,2619,20631
7229,332221,25398,202,4222
7233,226324,15512,244,4494
7239,124543,4867,221,1969
7275,1178831,74896,827,8127
7289,1082695,67089,1377,6794
7290,879843,46888,478,2046
7293,245386,17982,230,1167
7316,978752,72084,696,1885
7320,4879860,260418,4806,32849
7325,273240,24703,126,2437
7334,205129,7511,246,1386
7413,5273572,431976,10042,26555
7429,4969686,194998,4013,14925
7447,5127105,267765,3159,22506
7448,322110,18292,337,5265
7456,151611,5210,276,2071
7475,764707,36717,1210,5016
7476,681627,41987,523,5250
7508,1262899,78076,859,8477
7519,1024305,52378,529,2270
